Genesymbol,degree
AFAP1L1,68
AFAP1L2,60
AFDN,483
AFF1,598
AFF2,372
AFF4,232
AFG1L,138
AFG3L2,970
AFM,245
AFMID,226
AFP,848
AFTPH,138
AGA,353
AGAP1,418
AGAP2,432
AGAP3,371
AGAP4,591
AGAP5,427
AGAP6,361
AGBL1,119
AGBL3,202
AGBL4,104
AGBL5,811
AGER,241
AGFG1,1072
AGFG2,58
AGGF1,159
AGK,308
AGL,540
AGMAT,462
AGMO,314
AGO1,835
AGO2,1437
AGO3,1222
AGO4,1171
AGPAT1,542
AGPAT2,626
AGPAT3,482
AGPAT4,475
AGPAT5,489
AGPS,680
AGR2,134
AGR3,52
AGRN,560
AGRP,447
AGT,1189
AGTPBP1,659
AGTR1,1084
AGTR2,666
AGTRAP,56
AGXT,1005
AGXT2,351
AHCTF1,369
AHCY,821
AHCYL1,637
AHCYL2,553
AHDC1,18
AHI1,234
AHNAK,177
AHNAK2,93
AHR,544
AHRR,51
AHSA1,439
AHSG,534
AHSP,98
AICDA,455
AIDA,98
AIF1,383
AIF1L,19
AIFM1,1044
AIFM2,278
AIFM3,1157
AIG1,34
AIM2,197
AIMP1,821
AIMP2,414
AIP,346
AIPL1,157
AIRE,793
AJAP1,119
AJM1,68
AJUBA,359
AK1,1068
AK2,1165
AK3,1003
AK4,1056
AK5,831
AK7,993
AK8,1551
AK9,1289
AKAIN1,1
AKAP1,270
AKAP10,907
AKAP11,100
AKAP12,96
AKAP13,1225
AKAP14,201
AKAP17A,251
AKAP3,780
AKAP4,855
AKAP5,297
AKAP6,202
AKAP7,172
AKAP8,108
AKAP8L,52
AKAP9,701
AKIP1,41
AKIRIN1,43
AKIRIN2,41
AKNA,62
AKNAD1,457
AKR1A1,557
AKR1B1,1081
AKR1B10,950
AKR1B15,358
AKR1C1,478
AKR1C2,611
AKR1C3,585
AKR1C4,526
AKR1D1,636
AKR1E2,373
AKR7A2,339
AKR7A3,241
AKT1,5592
AKT1S1,237
AKT2,1900
AKT3,2101
AKTIP,800
ALAD,377
ALAS1,647
ALAS2,723
ALB,5975
ALCAM,262
ALDH16A1,1161
ALDH18A1,1221
ALDH1A1,1394
ALDH1A2,1541
ALDH1A3,1173
ALDH1B1,1131
ALDH1L1,1144
ALDH1L2,1114
ALDH2,1317
ALDH3A1,1104
ALDH3A2,1476
ALDH3B2,1037
ALDH4A1,1046
ALDH5A1,1096
ALDH6A1,232
ALDH7A1,1654
ALDH8A1,1155
ALDH9A1,1121
ALDOB,494
ALDOC,460
ALG1,722
ALG10,107
ALG10B,100
ALG11,1106
ALG12,115
ALG13,604
ALG14,94
ALG1L,619
ALG2,742
ALG3,219
ALG5,704
ALG6,194
ALG8,164
ALG9,79
ALK,929
ALKAL1,35
ALKAL2,46
ALKBH1,171
ALKBH2,66
ALKBH3,102
ALKBH4,40
ALKBH5,59
ALKBH6,46
ALKBH7,64
ALKBH8,1150
ALLC,1481
ALOX12,174
ALOX12B,169
ALOX15,203
ALOX15B,119
ALOX5,439
ALOX5AP,271
ALOXE3,161
ALPG,1330
ALPI,1503
ALPK1,373
ALPK2,48
ALPK3,48
ALPL,1603
ALPP,1630
ALS2,703
ALS2CL,191
ALS2CR12,70
ALX1,399
ALX3,729
ALX4,589
ALYREF,1595
AMACR,420
AMBN,65
AMBP,1514
AMBRA1,185
AMD1,326
AMDHD1,65
AMDHD2,100
AMELX,209
AMELY,230
AMER1,149
AMER2,135
AMER3,85
AMFR,598
AMH,697
AMHR2,155
AMIGO1,161
AMIGO2,34
AMIGO3,8
AMMECR1,362
AMMECR1L,131
AMN,52
AMN1,29
AMOT,243
AMOTL1,82
AMOTL2,61
AMPD1,377
AMPD2,257
AMPD3,252
AMPH,585
AMT,530
AMTN,52
AMY1A,387
AMY1B,376
AMY1C,381
AMY2A,514
AMY2B,443
AMZ1,37
AMZ2,20
ANAPC1,710
ANAPC10,784
ANAPC11,669
ANAPC13,332
ANAPC15,241
ANAPC16,226
ANAPC2,581
ANAPC4,1357
ANAPC5,704
ANAPC7,566
ANG,713
ANGEL1,176
ANGEL2,1045
ANGPT1,751
ANGPT2,667
ANGPT4,195
ANGPTL1,173
ANGPTL2,213
ANGPTL3,389
ANGPTL4,483
ANGPTL5,182
ANGPTL6,204
ANGPTL7,178
ANGPTL8,111
ANHX,649
ANK1,2284
ANK2,2203
ANK3,2325
ANKAR,92
ANKDD1B,1946
ANKEF1,1961
ANKFN1,60
ANKFY1,2726
ANKH,132
ANKHD1,3005
ANKHD1-EIF4EBP3,2122
ANKIB1,624
ANKK1,1852
ANKLE1,87
ANKLE2,66
ANKMY1,36
ANKMY2,41
ANKRA2,2009
ANKRD1,2121
ANKRD10,1989
ANKRD11,272
ANKRD12,776
ANKRD13A,372
ANKRD13B,80
ANKRD13C,409
ANKRD13D,83
ANKRD16,1984
ANKRD17,2758
ANKRD18A,1922
ANKRD18B,1936
ANKRD2,2085
ANKRD20A2,1900
ANKRD20A4,1881
ANKRD22,2015
ANKRD23,2051
ANKRD24,1751
ANKRD26,2183
ANKRD27,1877
ANKRD28,2067
ANKRD29,1976
ANKRD30A,1968
ANKRD30B,1944
ANKRD30BL,1945
ANKRD31,738
ANKRD33,68
ANKRD33B,13
ANKRD34B,44
ANKRD34C,44
ANKRD35,1810
ANKRD36,2588
ANKRD36C,2615
ANKRD37,2003
ANKRD39,2001
ANKRD40,57
ANKRD42,2277
ANKRD44,2681
ANKRD45,2309
ANKRD46,1886
ANKRD49,2148
ANKRD50,1975
ANKRD52,2018
ANKRD53,1924
ANKRD54,2004
ANKRD55,2087
ANKRD6,2007
ANKRD60,2273
ANKRD61,2006
ANKRD63,1906
ANKRD65,1899
ANKRD66,2033
ANKRD7,2686
