Genesymbol,degree
DLC1,123
DLD,1495
DLEC1,402
DLEU7,62
DLG1,1643
DLG2,1292
DLG3,1423
DLG5,346
DLGAP1,226
DLGAP2,147
DLGAP3,192
DLGAP4,114
DLGAP5,416
DLK1,744
DLK2,345
DLL1,823
DLL3,463
DLL4,669
DLST,751
DLX1,316
DLX2,482
DLX3,219
DLX4,96
DLX5,482
DLX6,231
DMAC1,42
DMAC2,67
DMAP1,492
DMBT1,167
DMBX1,394
DMC1,1852
DMD,1868
DMGDH,1021
DMKN,127
DMP1,145
DMPK,198
DMRT1,707
DMRT2,107
DMRT3,96
DMRTA1,472
DMRTA2,59
DMRTB1,767
DMRTC1B,1
DMRTC2,757
DMTF1,2126
DMTN,317
DMWD,715
DMXL1,1139
DMXL2,637
DNA2,997
DNAAF1,559
DNAAF2,226
DNAAF4,1990
DNAAF5,69
DNAH1,421
DNAH10,401
DNAH10OS,24
DNAH11,591
DNAH12,396
DNAH14,51
DNAH17,386
DNAH2,384
DNAH3,364
DNAH5,430
DNAH6,400
DNAH7,383
DNAH8,4410
DNAH9,421
DNAI1,799
DNAI2,762
DNAJA1,1510
DNAJA2,1291
DNAJA3,1199
DNAJA4,1189
DNAJB1,1705
DNAJB11,1104
DNAJB12,1062
DNAJB13,1138
DNAJB14,1926
DNAJB2,1124
DNAJB4,1093
DNAJB5,1097
DNAJB6,1136
DNAJB7,1136
DNAJB8,1708
DNAJB9,1120
DNAJC1,300
DNAJC10,2853
DNAJC11,1061
DNAJC12,360
DNAJC13,808
DNAJC14,116
DNAJC15,359
DNAJC16,1168
DNAJC17,417
DNAJC18,1598
DNAJC19,447
DNAJC2,794
DNAJC21,173
DNAJC22,1028
DNAJC24,1136
DNAJC25,967
DNAJC25-GNG10,1231
DNAJC27,2080
DNAJC28,70
DNAJC3,1083
DNAJC30,977
DNAJC4,924
DNAJC5,1184
DNAJC5B,1550
DNAJC5G,1563
DNAJC6,848
DNAJC7,1164
DNAJC8,265
DNAJC9,712
DNAL1,2029
DNAL4,249
DNALI1,256
DNASE1,335
DNASE1L1,45
DNASE1L2,37
DNASE2,254
DNASE2B,83
DND1,179
DNER,272
DNHD1,206
DNLZ,103
DNM1,1682
DNM1L,1730
DNM2,2263
DNMBP,211
DNMT1,1471
DNMT3A,734
DNMT3B,956
DNMT3L,309
DNPEP,121
DNPH1,494
DNTT,1755
DNTTIP1,92
DNTTIP2,377
DOC2A,81
DOCK1,500
DOCK10,590
DOCK11,1077
DOCK2,567
DOCK3,288
DOCK4,326
DOCK5,996
DOCK6,164
DOCK7,183
DOCK8,635
DOCK9,157
DOK1,159
DOK2,229
DOK3,168
DOK4,99
DOK5,91
DOK6,86
DOK7,92
DOLK,185
DOLPP1,224
DONSON,376
DOPEY1,966
DOPEY2,228
DOT1L,511
DPAGT1,589
DPCD,77
DPEP1,152
DPEP2,162
DPEP3,97
DPF1,129
DPF2,328
DPF3,75
DPH1,406
DPH2,386
DPH3,89
DPH5,481
DPH6,67
DPH7,52
DPM1,1089
DPM2,200
DPM3,122
DPP10,308
DPP4,797
DPP6,331
DPP7,92
DPP8,1259
DPP9,160
DPPA2,77
DPPA3,167
DPPA4,254
DPPA5,83
DPRX,345
DPT,228
DPY19L1,78
DPY19L2,168
DPY19L3,104
DPY19L4,128
DPY30,223
DPYD,2820
DPYS,367
DPYSL2,597
DPYSL3,353
DPYSL4,282
DPYSL5,317
DQX1,932
DR1,529
DRAM1,247
DRAM2,16
DRAP1,130
DRAXIN,101
DRC1,211
DRC3,2020
DRC7,833
DRD2,945
DRD3,463
DRD4,505
DRD5,440
DRG1,470
DRG2,227
DRGX,379
DRICH1,636
DROSHA,1870
DRP2,223
DSC1,149
DSC2,174
DSC3,658
DSCAM,199
DSCAML1,70
DSCC1,518
DSE,761
DSEL,88
DSG1,261
DSG2,229
DSG3,225
DSG4,223
DSP,351
DSPP,294
DST,786
DSTN,1101
DSTYK,2666
DTD1,108
DTD2,82
DTHD1,21
DTL,575
DTNA,472
DTNB,188
DTNBP1,272
DTWD1,20
DTWD2,115
DTX1,250
DTX2,127
DTX3,59
DTX3L,397
DTX4,131
DTYMK,1056
DUOX1,295
DUOX2,249
DUOXA1,625
DUOXA2,120
DUPD1,1000
DUS1L,444
DUS2,344
DUS3L,381
DUS4L,392
DUSP1,1534
DUSP10,1016
DUSP11,226
DUSP12,1286
DUSP13,1012
DUSP15,1208
DUSP16,1061
DUSP18,1089
DUSP19,1024
DUSP2,1031
DUSP21,920
DUSP22,1011
DUSP23,1015
DUSP26,982
DUSP27,1000
DUSP28,967
DUSP3,1024
DUSP4,1524
DUSP5,1196
DUSP6,1223
DUSP7,993
DUSP8,1024
DUSP9,998
DUT,1257
DUXA,124
DVL1,1344
DVL2,1126
DVL3,954
DXO,130
DYDC1,768
DYDC2,74
DYM,376
DYNAP,41
DYNC1H1,610
DYNC1I1,417
DYNC1I2,545
DYNC1LI1,243
DYNC1LI2,268
DYNC2H1,521
DYNC2LI1,291
DYNLL1,1087
DYNLRB1,204
DYNLRB2,914
DYNLT1,239
DYNLT3,162
DYRK1A,2438
DYRK1B,1484
DYRK2,2214
DYRK3,1417
DYRK4,1402
DYSF,468
DYTN,31
DZANK1,78
DZIP1,95
DZIP1L,88
DZIP3,297
E2F1,764
E2F2,620
E2F3,726
E2F4,745
E2F5,447
E2F6,479
E2F7,266
E2F8,247
E4F1,1330
EAF1,128
EAF2,293
EAPP,331
EBAG9,61
EBF1,426
EBF2,107
EBF3,90
EBF4,87
EBI3,158
EBLN2,177
EBNA1BP2,993
EBP,171
EBPL,59
ECD,99
ECE1,1252
ECEL1,549
ECH1,288
ECHDC1,603
ECHDC2,475
ECHDC3,55
ECHS1,696
ECI1,982
ECI2,1186
ECM1,315
ECM2,2025
ECPAS,771
ECSIT,159
ECT2,497
ECT2L,57
EDA,1130
EDA2R,416
EDAR,521
EDARADD,178
EDC3,315
EDC4,176
EDDM3A,48
EDDM3B,359
EDEM1,403
EDEM2,180
EDEM3,712
EDF1,368
EDIL3,187
EDN1,1594
EDN2,430
EDN3,473
EDNRA,1191
EDNRB,1122
EDRF1,44
EEA1,923
EED,2054
EEF1A1,1354
EEF1A2,1412
EEF1AKMT1,76
EEF1AKMT2,55
EEF1AKMT3,94
EEF1AKMT4-ECE2,138
EEF1B2,644
EEF1D,490
EEF1E1,1228
EEF1E1-BLOC1S5,680
EEF1G,1410
EEF2,1982
EEF2K,157
EEF2KMT,47
EEFSEC,220
EEPD1,82
EFCAB1,1743
EFCAB10,65
EFCAB11,2061
EFCAB13,2110
EFCAB14,51
EFCAB2,2002
EFCAB3,2203
EFCAB5,572
EFCAB6,2693
EFCAB7,2018
EFCAB8,15
EFCAB9,2537
EFEMP1,148
EFEMP2,127
EFHB,628
EFHC1,215
EFHD1,147
EFHD2,147
EFL1,1464
EFNA1,321
EFNA2,289
EFNA3,273
EFNA4,227
EFNA5,456
EFNB1,550
EFNB2,625
EFNB3,334
EFR3A,192
EFR3B,70
EFS,134
EFTUD2,1766
EGF,3855
EGFL6,38
EGFL7,328
EGFL8,44
EGFLAM,333
EGFR,3808
EGLN1,559
EGLN2,468
EGLN3,395
EGR1,2497
EGR2,1807
EGR3,1379
EGR4,1163
EHBP1,1048
EHBP1L1,1028
EHD1,451
EHD2,147
EHD3,160
EHD4,159
EHF,147
EHHADH,1242
EHMT1,3356
EHMT2,3547
EI24,34
EID1,70
EID2,51
EID2B,80
EID3,310
EIF1,406
EIF1AD,131
EIF1AX,911
EIF1AY,638
EIF1B,334
EIF2A,666
EIF2AK1,700
EIF2AK2,475
EIF2AK3,863
EIF2AK4,1139
EIF2B1,324
EIF2B2,364
EIF2B3,525
EIF2B4,245
EIF2B5,494
EIF2D,63
EIF2S1,1191
EIF2S2,822
EIF2S3,865
EIF2S3B,630
EIF3A,1125
EIF3B,961
EIF3C,601
EIF3CL,514
EIF3D,669
EIF3E,703
EIF3F,841
EIF3G,525
EIF3H,463
EIF3I,694
EIF3J,342
EIF3K,428
EIF3L,316
EIF3M,660
EIF4A1,1674
EIF4A2,1694
EIF4A3,1671
EIF4B,858
EIF4E,1270
EIF4E1B,518
EIF4E2,357
EIF4E3,622
EIF4EBP1,726
EIF4EBP2,259
EIF4EBP3,211
EIF4ENIF1,179
EIF4G1,1056
EIF4G2,233
EIF4H,1318
EIF5,558
EIF5A,969
EIF5A2,835
EIF5AL1,784
EIF5B,1285
EIF6,653
EIPR1,108
ELAC1,408
ELAC2,549
ELANE,1565
ELAVL1,1955
ELAVL2,742
ELAVL3,665
ELAVL4,610
ELF1,172
ELF3,1093
ELF4,180
ELF5,146
ELFN1,63
ELK1,213
ELK3,415
ELK4,626
ELL,1235
ELL2,183
ELL3,159
ELMO1,260
ELMO2,235
ELMO3,146
ELMOD1,144
ELMOD2,145
ELMOD3,46
ELMSAN1,109
ELN,1434
ELOA,218
ELOA2,811
ELOA3,147
ELOB,647
ELOC,1105
ELOF1,124
ELOVL1,191
ELOVL2,196
ELOVL3,160
ELOVL4,206
ELOVL6,560
ELOVL7,150
ELP1,940
ELP2,396
ELP3,783
ELP4,174
ELP5,32
ELP6,112
ELSPBP1,318
EMB,191
EMC1,122
EMC10,52
EMC2,242
EMC3,86
EMC4,123
EMC6,213
EMC7,184
EMC8,164
EMC9,119
EMCN,126
EMD,499
EME1,315
EMID1,24
EMILIN1,602
EMILIN2,73
EMILIN3,12
EML1,48
EML2,31
EML3,83
EML4,1174
EML5,29
EML6,542
EMP1,128
EMP2,70
EMP3,411
EMSY,857
EMX1,263
EN1,548
EN2,493
ENAH,742
ENAM,319
ENC1,137
ENDOD1,21
ENDOG,402
ENDOU,98
ENDOV,216
ENG,1535
ENGASE,65
ENHO,76
ENKD1,4
ENKUR,182
ENO1,2975
ENO2,3072
ENO3,2251
ENO4,1610
ENOPH1,372
ENOSF1,203
ENOX1,58
ENOX2,188
ENPEP,803
ENPP1,378
ENPP2,256
ENPP3,273
ENPP4,187
ENPP5,140
ENPP6,198
ENPP7,179
ENSA,125
ENTHD1,968
ENTPD1,520
ENTPD2,246
ENTPD3,253
ENTPD4,422
ENTPD5,208
ENTPD6,201
ENTPD7,86
ENTPD8,254
ENTR1,219
ENY2,434
EOGT,87
EOMES,633
EP300,3473
EP400,1715
EPAS1,478
EPB41,478
EPB41L1,242
EPB41L2,182
EPB41L3,224
EPB41L4A,54
EPB41L4B,35
EPB41L5,227
EPC1,440
EPC2,1202
EPCAM,515
EPG5,374
EPGN,117
EPHA1,3299
EPHA10,2882
EPHA2,3097
EPHA3,3198
EPHA4,2999
EPHA5,2796
EPHA6,2999
EPHA7,2710
EPHA8,2982
EPHB1,3071
EPHB2,3438
EPHB3,2854
EPHB4,2837
EPHX1,979
EPHX2,1015
EPHX3,24
EPHX4,51
EPM2A,1875
EPM2AIP1,33
EPN1,435
EPN2,380
EPN3,307
EPO,1394
EPOR,1133
EPPIN-WFDC6,627
EPRS,2672
EPS15,1079
EPS15L1,446
EPS8,335
EPS8L1,10
EPS8L2,80
EPS8L3,36
EPSTI1,126
EPX,677
EPYC,2033
EQTN,703
ERAL1,518
ERAP1,886
ERAP2,624
ERAS,2285
ERBB2,3020
ERBB3,1460
ERBB4,1324
ERBIN,2529
ERC1,988
ERC2,160
ERCC1,576
ERCC2,912
ERCC3,713
ERCC4,788
ERCC5,1938
ERCC6,1089
ERCC6L,716
ERCC6L2,1133
ERCC8,299
EREG,1221
ERF,299
ERFE,60
ERG,233
ERG28,127
ERGIC1,194
ERGIC2,361
ERGIC3,221
ERH,999
ERI1,172
ERI2,88
ERI3,71
ERICH1,371
ERICH2,699
ERICH3,651
ERICH4,32
ERICH5,24
ERICH6,707
ERICH6B,26
ERLEC1,431
ERLIN1,107
ERLIN2,187
ERMAP,194
ERMARD,47
ERMN,648
ERMP1,85
ERN1,3371
ERN2,2587
ERO1A,245
ERO1B,172
ERP27,1925
ERP29,145
ERP44,1925
ERRFI1,285
ERV3-1,42
ERVFRD-1,54
ERVMER34-1,18
ERVV-1,34
ERVV-2,22
ERVW-1,1153
ESAM,456
ESCO1,876
ESCO2,487
ESD,858
ESF1,570
ESM1,24
ESPL1,1179
ESPN,2058
ESPNL,1953
ESR1,3443
ESR2,1231
ESRP1,154
ESRP2,150
ESRRA,415
ESRRB,325
ESRRG,172
ESS2,221
ESX1,1050
ESYT1,29
ESYT2,73
ESYT3,70
ETAA1,49
ETF1,719
ETFA,569
ETFB,292
ETFBKMT,59
ETFDH,334
ETFRF1,20
ETHE1,250
ETNK1,688
ETNK2,209
ETNPPL,271
ETS1,1168
ETS2,692
ETV1,680
ETV2,166
ETV3,306
ETV3L,150
ETV4,459
ETV5,1068
ETV6,1802
ETV7,162
EVA1A,60
EVA1B,31
EVA1C,81
EVC,156
EVC2,197
EVI2A,157
EVI2B,144
EVI5,818
EVI5L,191
EVL,429
EVPL,309
EVPLL,937
EVX1,365
EVX2,286
EWSR1,1029
EXD1,670
EXD2,112
EXD3,93
EXO1,1709
EXO5,73
EXOC1,1227
EXOC2,429
EXOC3,654
EXOC3L1,495
EXOC3L2,510
EXOC3L4,446
EXOC4,1330
EXOC5,386
EXOC6,653
EXOC6B,354
EXOC7,488
EXOG,593
EXOSC1,515
EXOSC10,996
EXOSC2,614
EXOSC3,529
EXOSC4,927
EXOSC5,925
EXOSC6,761
EXOSC7,502
EXOSC8,703
EXOSC9,619
EXPH5,71
EXT1,932
EXT2,240
EXTL1,96
EXTL2,75
EXTL3,912
EYA1,372
EYA2,158
EYA3,77
EYA4,202
EYS,1225
EZH1,1795
EZH2,2072
EZR,1101
F10,775
F11,427
F12,718
F13A1,347
F13B,223
F2,3212
F2R,938
F2RL1,293
F2RL2,220
F2RL3,212
F3,1065
F5,372
F7,734
F8,533
F8A2,93
F9,739
FA2H,293
FAAH,539
FAAH2,546
FAAP100,109
FAAP20,78
FAAP24,231
FABP1,386
FABP12,71
FABP2,204
FABP3,287
FABP4,493
FABP5,193
FABP6,185
FABP7,210
FABP9,286
FADD,685
FADS1,222
FADS2,261
FADS3,49
FAF1,164
FAF2,425
FAH,274
FAHD1,232
FAHD2A,200
FAHD2B,215
FAIM,31
FAIM2,323
FAM102A,58
FAM102B,35
FAM104A,42
FAM104B,106
FAM107A,99
FAM107B,65
FAM110A,87
FAM110B,69
FAM110C,41
FAM110D,31
FAM111A,89
FAM111B,59
FAM114A1,60
FAM114A2,34
FAM117A,83
FAM117B,499
FAM118A,92
FAM118B,7
FAM120A,65
FAM120AOS,36
FAM120B,174
FAM120C,63
FAM122A,80
FAM122B,185
FAM122C,220
FAM124A,96
FAM124B,56
FAM126A,70
FAM126B,523
FAM129A,320
FAM129B,264
FAM129C,37
FAM131A,12
FAM131B,156
FAM131C,29
FAM133A,216
FAM133B,142
FAM135A,81
FAM135B,100
FAM136A,236
FAM13A,97
FAM13B,1095
FAM149A,46
FAM149B1,46
FAM151A,210
FAM151B,155
FAM153A,44
FAM153B,39
FAM153C,29
FAM155A,132
FAM155B,989
FAM160A1,12
FAM160A2,71
FAM160B1,17
FAM160B2,79
FAM161A,92
FAM161B,43
FAM162A,95
FAM162B,25
FAM163A,112
FAM163B,108
FAM166A,666
FAM166B,123
FAM167A,73
FAM167B,86
FAM168A,24
FAM168B,535
FAM169A,53
FAM169B,36
FAM170A,752
FAM170B,422
FAM171A1,26
FAM171A2,61
FAM171B,206
FAM172A,892
FAM173A,510
FAM173B,19
FAM174A,10
FAM174B,38
FAM177A1,78
FAM177B,17
FAM178B,36
FAM180A,89
FAM181A,673
FAM181B,25
FAM182B,32
FAM183A,18
FAM184A,11
FAM184B,83
FAM185A,75
FAM186A,374
FAM186B,712
FAM187A,13
FAM187B,668
FAM189A1,101
FAM189A2,51
FAM189B,44
FAM192A,81
FAM193A,54
FAM193B,120
FAM196A,100
FAM196B,509
FAM198A,12
FAM198B,155
FAM199X,47
FAM19A1,88
FAM19A2,123
FAM19A3,28
FAM19A4,39
FAM19A5,62
FAM200A,2
FAM204A,40
FAM205A,670
FAM206A,77
FAM207A,82
FAM208A,120
FAM208B,535
FAM209A,631
FAM209B,674
FAM20A,53
FAM20B,40
FAM20C,645
FAM210A,62
FAM210B,56
FAM213A,89
FAM213B,99
FAM214A,189
FAM214B,50
FAM216A,140
FAM216B,41
FAM217A,7
FAM217B,47
FAM218A,23
FAM219A,55
FAM219B,20
FAM220A,76
FAM221A,48
FAM221B,20
FAM222A,28
FAM222B,21
FAM227A,10
FAM228A,738
FAM229B,541
FAM231C,7
FAM234A,20
FAM234B,38
FAM241A,253
FAM241B,15
FAM24A,641
FAM24B,41
FAM25A,43
FAM25G,26
FAM32A,108
FAM3A,72
FAM3B,54
FAM3C,159
FAM3D,26
FAM43A,58
FAM43B,37
FAM45A,35
FAM47A,688
FAM47B,705
FAM47C,659
FAM47E,40
FAM49B,577
FAM50A,86
FAM50B,106
FAM53A,48
FAM53B,14
FAM53C,42
FAM57A,33
FAM57B,154
FAM69A,28
FAM69B,42
FAM69C,22
FAM71A,587
FAM71B,691
FAM71C,673
FAM71D,535
FAM71E2,664
FAM71F1,697
FAM72A,24
FAM72B,46
FAM72D,13
FAM76A,153
FAM76B,345
FAM78A,56
FAM78B,61
FAM81A,80
FAM81B,604
FAM83B,36
FAM83C,46
FAM83E,55
FAM83F,66
FAM83G,28
FAM83H,51
FAM84A,74
FAM84B,50
FAM86B1,26
FAM86B2,33
FAM86C1,40
FAM89A,31
FAM89B,31
FAM8A1,71
FAM90A1,38
FAM91A1,166
FAM92A,37
FAM92B,130
FAM96A,139
FAM96B,215
FAM98A,170
FAM98B,86
FAM98C,131
FAM9A,50
FAM9B,223
FAM9C,25
FAN1,266
FANCA,465
FANCB,394
FANCC,721
FANCD2,711
FANCD2OS,680
FANCE,216
FANCF,603
FANCG,394
FANCI,557
FANCL,287
FANCM,1175
FANK1,2431
FAP,359
FAR1,426
FAR2,25
FARP1,41
FARP2,78
FARS2,1346
FARSA,796
FARSB,821
FAS,1251
FASLG,1264
FASN,1010
FASTK,160
FASTKD1,20
FASTKD2,117
FASTKD3,91
FASTKD5,34
FAT1,369
FAT2,325
FAT4,395
FATE1,393
FAU,2009
FAXC,74
FAXDC2,173
FBF1,160
FBH1,753
FBL,1591
FBLIM1,167
FBLN1,283
FBLN2,212
FBLN5,284
FBLN7,321
FBN1,798
FBN2,278
FBN3,126
FBP1,674
FBP2,612
FBRS,27
FBRSL1,63
FBXL12,307
FBXL13,306
FBXL14,292
FBXL15,308
FBXL16,309
FBXL17,325
FBXL18,280
FBXL19,1343
FBXL2,262
FBXL20,553
FBXL22,79
FBXL3,481
FBXL4,1127
FBXL5,578
FBXL6,354
FBXL7,332
FBXL8,283
FBXO10,284
FBXO11,768
FBXO15,442
FBXO16,22
FBXO17,313
FBXO2,327
FBXO21,274
FBXO22,334
FBXO24,760
FBXO25,294
FBXO27,308
FBXO28,158
FBXO3,110
FBXO30,318
FBXO31,294
FBXO32,610
FBXO33,77
FBXO34,103
FBXO36,33
FBXO38,590
FBXO39,530
FBXO4,311
FBXO40,322
FBXO41,318
FBXO42,489
FBXO43,106
FBXO44,314
FBXO45,114
FBXO46,61
FBXO47,698
FBXO48,104
FBXO5,570
FBXO6,327
FBXO7,444
FBXO8,534
FBXO9,403
FBXW11,711
FBXW12,311
FBXW5,425
FBXW7,1751
FBXW8,331
FBXW9,271
FCAMR,45
FCAR,97
FCER1A,162
FCER1G,375
FCER2,176
FCF1,507
FCGR1A,608
FCGR1B,206
FCGR2A,1136
FCGR2B,718
FCGR3A,1026
FCGR3B,869
FCGRT,235
FCHO1,363
FCHO2,659
FCHSD1,147
FCHSD2,91
FCMR,91
FCN1,287
FCN2,255
FCN3,200
FCRL1,83
FCRL2,61
FCRL3,132
FCRL4,59
FCRL5,72
FCRL6,40
FCRLA,116
FCRLB,20
FDCSP,31
FDFT1,505
FDPS,995
FDX1,390
FDX2,289
FDXACB1,128
FDXR,411
FECH,784
FEM1A,1850
FEM1B,1865
FEM1C,1889
FEN1,1961
FER,816
FERD3L,51
FERMT1,111
FERMT2,166
FERMT3,274
FES,486
FETUB,168
FEV,192
FEZ1,90
FEZ2,99
FEZF1,1384
FEZF2,1393
FFAR1,258
FFAR2,292
FFAR3,206
FFAR4,180
FGA,516
FGB,418
FGD1,376
FGD2,121
FGD3,122
FGD4,275
FGD5,77
FGD6,50
FGF1,1092
FGF10,804
FGF11,334
FGF12,355
FGF14,370
FGF16,312
FGF17,547
FGF18,471
FGF19,804
FGF2,2429
FGF20,518
FGF21,564
FGF22,369
FGF23,552
FGF3,751
FGF4,981
FGF5,570
FGF6,528
FGF7,939
FGF8,1052
FGF9,732
FGFBP2,30
FGFBP3,117
FGFR1,3675
FGFR1OP,218
FGFR1OP2,487
FGFR2,3576
FGFR3,3273
FGFR4,2801
FGFRL1,2553
FGG,496
FGGY,178
FGL2,623
FGR,3190
FH,969
FHDC1,349
FHIT,593
FHL1,126
FHL2,409
FHL3,293
FHL5,444
FHOD1,138
FHOD3,98
FIBCD1,217
FIBIN,64
FIBP,147
FICD,399
FIG4,729
FIGLA,150
FIGN,1221
FIGNL1,1311
FILIP1,36
FILIP1L,43
FIP1L1,641
FIS1,298
FITM1,74
FITM2,51
FIZ1,1132
FJX1,75
FKBP10,976
FKBP11,941
FKBP14,937
FKBP15,124
FKBP1A,1381
FKBP1B,1070
FKBP1C,1150
FKBP2,1144
FKBP3,1271
FKBP4,1038
FKBP6,1583
FKBP7,981
FKBP8,1010
FKBP9,984
FKBPL,1898
FKRP,137
FKTN,162
FLAD1,630
FLCN,157
FLG,292
FLG2,84
FLI1,321
FLII,2247
FLNA,1743
FLNB,1391
FLNC,1111
FLOT1,228
FLOT2,180
FLRT1,1947
FLRT2,66
FLRT3,1892
FLT1,3836
FLT3,3295
FLT3LG,457
FLT4,2935
FLVCR1,212
FLVCR2,105
FLYWCH1,19
FLYWCH2,39
FMC1,91
FMN1,616
FMN2,227
FMNL1,256
FMNL2,166
FMNL3,149
FMO1,257
FMO2,169
FMO3,298
FMO4,157
FMO5,198
FMOD,2319
FMR1,1413
FMR1NB,663
FN1,1580
FN3K,91
FN3KRP,106
FNBP1,291
FNBP1L,160
FNBP4,466
FNDC1,165
FNDC10,9
FNDC11,726
FNDC3A,330
FNDC3B,277
FNDC4,161
FNDC5,112
FNDC7,21
FNDC8,635
FNDC9,269
FNIP1,788
FNIP2,41
FNTA,228
FNTB,205
FOCAD,57
FOLH1,414
FOLR1,186
FOLR2,61
FOPNL,115
FOS,3181
FOSB,738
FOSL1,828
FOSL2,614
FOXA1,1443
FOXA3,1063
FOXB1,978
FOXB2,895
FOXC1,1241
FOXC2,1225
FOXD2,954
FOXD3,1388
FOXD4,998
FOXD4L1,960
FOXD4L3,969
FOXD4L4,964
FOXD4L5,934
FOXE1,1207
FOXE3,994
FOXF1,1065
FOXF2,1024
FOXG1,1371
FOXH1,1155
FOXI1,1086
FOXI2,949
FOXJ1,1195
FOXJ2,939
FOXJ3,1344
FOXK1,1522
FOXK2,1076
FOXL1,1009
FOXL2,1204
FOXL2NB,8
FOXM1,2135
FOXN1,1269
FOXN2,1429
FOXN3,1085
FOXN4,999
FOXO1,2040
FOXO3,2005
FOXO4,1305
FOXP1,1877
FOXP2,1168
FOXP3,2001
FOXP4,929
FOXQ1,968
FOXR1,1433
FOXR2,1617
FOXRED1,118
FOXRED2,277
FOXS1,936
FPGS,1111
FPGT,66
FPGT-TNNI3K,1849
FPR1,782
FPR2,582
FPR3,261
FRA10AC1,100
FRAT1,99
FRAT2,105
FREM1,62
FREM2,285
FREM3,160
FRG1,105
FRG2,55
FRG2B,19
FRG2C,22
FRMD1,99
FRMD3,60
FRMD4A,123
FRMD4B,134
FRMD5,88
FRMD6,67
FRMD7,123
FRMD8,159
FRMPD1,50
FRMPD2,176
FRMPD3,60
FRMPD4,322
FRRS1,54
FRS3,93
FRY,982
FRYL,1522
FRZB,1279
FSBP,27
FSCB,676
FSCN1,834
FSCN2,109
FSCN3,796
FSD1,371
FSD1L,349
FSD2,209
FSHB,402
FSHR,462
FSIP1,78
FST,766
FSTL1,205
FSTL3,111
FSTL4,123
FSTL5,154
FTCD,224
FTCDNL1,5
FTH1,1272
FTHL17,617
FTL,203
FTMT,907
FTO,351
FTSJ1,765
FTSJ3,807
FUBP1,291
FUBP3,216
FUCA1,157
FUCA2,133
FUK,82
FUNDC1,268
FUNDC2,31
FUOM,46
FURIN,3110
FUS,1327
FUT1,238
FUT10,64
FUT11,122
FUT2,303
FUT3,1015
FUT4,993
FUT5,125
FUT6,138
FUT7,209
FUT8,112
FUT9,174
FUZ,522
FXN,579
FXR1,398
FXR2,225
FXYD1,336
FXYD2,128
FXYD3,101
FXYD5,533
FXYD6,41
FXYD7,85
FYB1,843
FYB2,77
FYCO1,105
FYN,4368
FYTTD1,177
FZD1,613
FZD10,322
FZD2,436
FZD3,402
FZD4,628
FZD5,425
FZD6,367
FZD7,422
FZD8,416
FZD9,394
FZR1,1685
G0S2,76
G2E3,185
G3BP1,742
G3BP2,677
G6PC,621
G6PC2,112
G6PC3,60
G6PD,605
GAA,417
GAB1,342
GAB2,372
GAB3,190
GAB4,744
GABARAP,676
GABARAPL1,754
GABARAPL2,846
GABBR1,325
GABBR2,552
GABPA,391
GABPB1,1987
GABPB2,2307
GABRA1,352
GABRA2,273
GABRA4,163
GABRA5,194
GABRA6,153
GABRB1,364
GABRB2,444
GABRB3,479
GABRD,347
GABRE,160
GABRG1,226
GABRG2,365
GABRG3,122
GABRP,195
GABRR1,231
GABRR2,176
GAD1,1379
GAD2,1160
GADD45A,846
GADD45B,423
GADD45G,185
GADD45GIP1,204
GADL1,474
GAGE1,499
GAGE10,9
GAGE12C,53
GAGE12D,44
GAGE12E,8
GAGE12F,34
GAGE12G,152
GAGE12H,55
GAGE12J,26
GAGE2A,619
GAK,2523
GAL,547
GAL3ST1,91
GAL3ST2,119
GAL3ST3,112
GAL3ST4,65
GALC,301
GALE,606
GALK1,759
GALK2,562
GALM,213
GALNS,165
GALNT1,143
GALNT10,61
GALNT12,148
GALNT13,137
GALNT14,58
GALNT15,78
GALNT16,96
GALNT17,59
GALNT18,83
GALNT2,148
GALNT3,152
GALNT4,84
GALNT5,68
GALNT6,79
GALNT7,73
GALNT8,61
GALNT9,56
GALNTL5,714
GALNTL6,109
GALP,86
GALR1,306
GALR2,280
GALR3,266
GALT,147
GAMT,472
GANAB,288
GANC,373
GAP43,543
GAPDH,6420
GAPDHS,2697
GAPT,84
GAPVD1,996
GAR1,680
GAREM1,22
GAREM2,6
GARNL3,142
GARS,594
GART,2358
GAS1,228
GAS2,69
GAS2L3,14
GAS6,225
GAS7,653
GAS8,156
GAST,772
GATA1,1902
GATA2,1750
GATA3,1974
GATA4,1795
GATA5,1111
GATA6,1405
GATAD1,59
GATAD2A,176
GATAD2B,169
GATB,245
GATC,21
GATD1,77
GATD3A,244
GATM,151
GBA,550
GBA2,170
GBE1,532
GBF1,701
GBGT1,164
GBP1,337
GBP2,483
GBP3,159
GBP4,177
GBP6,201
GBP7,244
GBX1,157
GBX2,378
GC,344
GCA,423
GCAT,581
GCC1,154
GCC2,712
GCDH,503
GCFC2,272
GCG,1630
GCGR,491
GCH1,580
GCHFR,46
GCK,1275
GCKR,244
GCLC,395
GCLM,452
GCM1,138
GCM2,85
GCN1,622
GCNA,254
GCNT1,231
GCNT2,207
GCNT3,159
GCNT4,147
GCNT7,603
GCOM1,40
GCSAM,71
GCSH,348
GDA,197
GDAP1,137
GDAP1L1,114
GDAP2,733
GDE1,803
GDF1,250
GDF11,262
GDF15,388
GDF3,401
GDF5,403
GDF6,212
GDF7,191
GDF9,727
GDI1,614
GDI2,771
GDNF,903
GDPD1,326
GDPD2,324
